sessionID;TotalTimeHH;TotalTimeDD;CaseLength
6PgKB3x7G5dxZ4XEB2ByCLxgFhigMhVZjsFz0gmp4WRuhvOuRdGhSt26lIJ1UklcQeUYmIvxfftV6hrXiinjA6fAevcPJfoQIcvqz8pRhF9dEapTZo3TOEqHJXliEWxz0YXYjCZTxh9s5njrlMWIoB;0.0;0.0;1
6ZHYThC29yMNinuneBD9SNxvxuvPzBX0VgQB6CgeuBMesVZjjHgiWF7QmKxHGWxvCwXh4jKP4XfeOA4FYhTJjcTfaLeDn6r7IciRYIxEMORD6uNFhy50QwHCtTY2GJNq0XP2lhwzujDKs05MKqKnzz;0.0;0.0;1
6bjSzdHiaZ1SHXsJmibye619aeKFPr2s8dll9k44gqK7v9AJem8PoUWJjtpe7OMeUwAEavQDJldXzCulWzwKS5ipUSRlrRNrF3ENcSoeLaC89EhgfJ24ZTisMtzoWlWsl4qdfSn2xuVmCnYFtDll03;0.0;0.0;1
6gYxCD0sJlso2jJowjwXemb8SJv2FAy5VoBgc7au2eoGMsKmJiYjDGfrLAT0iBAXY8y9Xbob9UPB38yNvYIN5aCjLvzOir1c4t6IIzXctb0oVRVu2DL7bPM23JB4WdM2K5ifCdgDBQITpGB1EtxOiu;0.0;0.0;1
6s3o5Hh3ud04TphLxssrJz8gVgRQVE68jumIlBd1uIB0AuhppVezCmIGgEQM7Rg5FEF5O4xKvQPQR3DIvkycL0K3tWdC3n4FNnaa8l3nkhloJgEQGE2pEZu0IY9T1J1hx3kNx8i1PJ1nmlha160PrA;0.0;0.0;1
6u3FoO2n6czOlOBksMlyH3cznWkTSEE6s57yPa8wOlmF2E79GlOImhfJj1yTlLCDEZccXkZnOqmXvetx9n0qElZ6167Bq1WnzEkISpp2E14e5eVQ4ZjMUnvE6Upi5c2rZlJe6hzmhbLB0t3CDZ9bzk;0.0;0.0;1
7G5a3T4nvqQP8dlhr8WBOzyVwi4VY5C4aqF28x6fSDBsescqGuktq4rb5Ub2hHLKE0ccO9pxzQNC3hdVpG8ilYQyf3wxWD2D42EEBwZVkoMUXylMRb6dra4UDQP7j1OCe6DgadlLDDYk3v7cW3Qbzl;0.0;0.0;1
7LoO7yAkQvbx9DCtvGAUmqTBnQ5rYiVHTvJevqiVA6HXxg1EDjX3ExoUdn9EadS4GtkCxrB5zaCZEJvVvsvsMXi8UpYxpGFC5Al02pP7XVT2bSq8dB9fBgGqq3aRocEMYigc7r3SyiXyBnqYKdnntl;0.0;0.0;1
7P5BjOhKVjg55iUsiVl6GlcJdw8gKP4dv2mpc9A44CVBWmAcMjrALdevRd7yby1Mj6ut7lyCrjbPjPwlxWpCBzoa3N1eFrijPm60tkj5rFtgoYRGRwbVZufKPqPHPRMuLStE3SjVRJ9RUHp2NpGFHS;0.0;0.0;1
7W7mnr7rGbIqQxN2in0mSPED4ivPby77L2pwnP6yGiTVFslbO3vhs3XLkc0sZKZurNPiYS8StJ8cw6xHDKVhxnhF33bOIRau6XY71KykCsEbrtDRdPUMZscTT53qKOyDmhx1CuvoglQ6zUmdDThEIm;0.0;0.0;1
7d0XoaLd6TqwydLrAV39aJVmv07erWyq4pk9weGaHE61msX7c5Rn64g6WJQBg9tygFueI0VwwJ6j5bUOGh9AUUZTNManiw0BcBaKI0yHrRKE11SRTSy6WwiQ3ocmQNKI2OM9Y9fiDSh8urxlpbGvQb;0.0;0.0;1
7ezRmaRcNHW8KAxO6hX4fWUF6RwHrubOphysEavedEcLjogD4w2nLRAmzBWx4uobDp5rS6Urrb3UTNg1YENBXIPzpg3u57vxvnsoDll3toKe1M4hQHq5hFwUR7F0z93yHup17sGGBTt6vRRMKDvto1;0.0;0.0;1
